File,Errors,ID,Format,Version,Basis for ID,Warning
X:\school\data\Govdocs1-threads\054\054353.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\057\057301.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\058\058414.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\062\062300.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\066\066697.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\075\075198.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\076\076418.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\076\076985.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\078\078048.unk,,fmt/38,Microsoft Word for Windows Document,2.0,"byte match at 0, 22",extension mismatch
X:\school\data\Govdocs1-threads\082\082845.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\083\083390.html,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\083\083918.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\085\085427.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [1829 3] [1913 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\086\086627.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\089\089672.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\090\090643.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\091\091885.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\093\093119.gz#eit_00195_20000625_061057.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\100\100200.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\103\103385.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\108\108720.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\111\111807.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\112\112566.unk,,x-fmt/111,Plain Text File,,text match Non-ISO extended-ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\115\115606.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\115\115609.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\116\116114.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\116\116647.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\123\123448.txt,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/111, fmt/1085, fmt/1591"
X:\school\data\Govdocs1-threads\125\125709.html,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\127\127995.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\128\128141.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\130\130722.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\131\131213.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\131\131779.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\138\138444.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\138\138491.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\139\139062.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\143\143913.text,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\144\144950.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\145\145412.gz#eit_00195_20030814_223559.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\149\149451.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\151\151391.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\152\152860.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\154\154032.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [1498 3] [1574 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\157\157055.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\157\157438.gz#eit_00195_20030913_072409.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\162\162138.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\162\162539.pps,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\163\163159.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\163\163464.unk,,x-fmt/111,Plain Text File,,text match ISO-8859,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\164\164850.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\165\165014.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\167\167559.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\167\167878.xls,,x-fmt/17,Microsoft Excel Template,97-2003,"container name Workbook with byte match at 0, 30",extension mismatch
X:\school\data\Govdocs1-threads\170\170053.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\172\172226.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\173\173124.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\173\173126.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\175\175414.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\177\177939.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\178\178804.txt,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/111, fmt/1085, fmt/1591"
X:\school\data\Govdocs1-threads\178\178827.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\179\179078.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\179\179475.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\180\180251.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\182\182232.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\183\183045.eps,,x-fmt/406,PostScript,2.0,"byte match at 0, 14",extension mismatch
X:\school\data\Govdocs1-threads\184\184435.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\188\188398.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\191\191010.tex,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\191\191364.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\197\197756.text,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\205\205302.tex,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\206\206002.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\206\206709.pdf,,fmt/1762,MacBinary,II,"byte match at 0, 123",extension mismatch
X:\school\data\Govdocs1-threads\209\209321.text,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 77, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\210\210521.text,,fmt/1835,Archiver Format,,"byte match at 0, 7",extension mismatch
X:\school\data\Govdocs1-threads\212\212986.ps,,fmt/123,Encapsulated PostScript File Format,2.0,"byte match at 0, 24 (signature 1/2)",extension mismatch
X:\school\data\Govdocs1-threads\213\213154.tmp,,UNKNOWN,,,,no match; possibilities based on extension are fmt/1963
X:\school\data\Govdocs1-threads\213\213581.gz#eit_00195_20010930_213430.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\213\213773.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\214\214706.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\217\217551.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\218\218213.gz#trac_195____a0_20020222_0203.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\221\221739.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\222\222485.gz#eit_00304_20000324_075016.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\226\226869.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\227\227731.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\230\230443.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\230\230900.pdf,,fmt/1762,MacBinary,II,"byte match at 0, 123",extension mismatch
X:\school\data\Govdocs1-threads\232\232348.gz#eit_00195_20020915_074759.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\235\235644.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\235\235744.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\237\237404.doc,,x-fmt/65,Microsoft Word for Macintosh Document,5.0,"byte match at 0, 4",extension mismatch
X:\school\data\Govdocs1-threads\238\238372.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\240\240507.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\240\240742.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\242\242995.txt,,fmt/390,Log ASCII Standard Format,2.0,byte match at [[0 2] [23 5] [44 2] [50 36] [141 2] [1039 2] [4422 2]],extension mismatch
X:\school\data\Govdocs1-threads\243\243106.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\243\243369.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\244\244044.sql,,fmt/206,Structured Query Language Data,,extension match sql,match on extension only
X:\school\data\Govdocs1-threads\244\244704.ps,,x-fmt/266,GZIP Format,,"byte match at 0, 3",extension mismatch
X:\school\data\Govdocs1-threads\247\247889.text,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\248\248920.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\251\251012.text,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\253\253852.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\253\253863.text,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\254\254591.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\256\256820.gz#256820,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\257\257445.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\259\259313.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\260\260854.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\261\261846.gz#261846,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\262\262426.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\264\264434.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\264\264755.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\266\266620.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\266\266678.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\269\269681.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\271\271080.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\272\272181.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\272\272323.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\273\273180.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\276\276201.gz#roll-1.0.3-1.el3.rf.x86_64.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\276\276790.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\276\276813.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\279\279727.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\284\284063.ps,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/91, fmt/124, x-fmt/406, x-fmt/407, x-fmt/408, fmt/501"
X:\school\data\Govdocs1-threads\286\286751.html,,fmt/101,Extensible Markup Language,1.0,"byte match at 0, 19",extension mismatch
X:\school\data\Govdocs1-threads\287\287122.unk,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\289\289120.gz#trac_171____a2_20050426_053314.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\290\290286.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\292\292745.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\294\294699.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\295\295421.pps,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\298\298350.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\301\301707.f,,fmt/879,Fortran,,extension match f,match on extension only
X:\school\data\Govdocs1-threads\303\303131.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\306\306344.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\310\310592.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\314\314195.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\318\318982.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\322\322266.gz#php-sqlite-1.0.2-2.0.rh9.dag.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\324\324641.gz#eit_00195_20001219_213527.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\328\328653.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\331\331332.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\331\331953.unk,,x-fmt/111,Plain Text File,,text match Non-ISO extended-ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\334\334917.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\336\336589.gz#python-ctypes-1.0.0-2.el4.rf.i386.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\336\336717.txt,,UNKNOWN,,,,"no match; possibilities based on extension are x-fmt/111, fmt/1085, fmt/1591"
X:\school\data\Govdocs1-threads\337\337444.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\338\338048.txt,,fmt/1210,Wavefront OBJ File,,byte match at [[536 47] [953 39]],extension mismatch
X:\school\data\Govdocs1-threads\338\338473.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\338\338763.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\339\339984.gz#of3428.ps,,fmt/122,Encapsulated PostScript File Format,1.2,"byte match at 0, 24 (signature 1/2)",extension mismatch
