filename,filesize,modified,errors,md5,namespace,id,format,version,mime,class,basis,warning
X:\school\data\Govdocs1-threads\001\001020.ppt,946688,2001-04-11T18:18:41-04:00,,317be78c44b0de77e6f9e3d26ee49ffa,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\001\001084.xls,140800,2008-03-27T10:43:45-04:00,,d7c397ca16fdc0d68592a5a1e2f281fc,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\001\001131.pdf,5032825,2008-11-04T16:37:38-05:00,,ce528cc6939c781d5393b698427fbe41,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [5032818 5]],
X:\school\data\Govdocs1-threads\001\001330.html,25269,2009-02-05T20:27:11-05:00,,1b68ec2d852276c5c6389c5402c72614,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\001\001350.html,1064819,2008-05-05T10:44:42-04:00,,055cc5a34c372a45c5d48678d22078bb,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [1064811 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\001\001387.pdf,432424,2009-02-05T20:28:46-05:00,,dd307df7532a78b4fb8e4c7131ce76fd,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [432417 5]],
X:\school\data\Govdocs1-threads\001\001452.txt,35124,2001-12-05T19:26:37-05:00,,d147e2315006effd0c4197f8f200a507,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\001\001484.pdf,54650,2005-07-14T19:04:25-04:00,,557000316ea8332aabdfaeea1d95fce8,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [54643 5]],
X:\school\data\Govdocs1-threads\001\001618.doc,25600,2009-01-16T12:54:26-05:00,,1c4df813c877f66c6885316549e78fe7,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\001\001703.html,10462,2009-02-05T03:35:55-05:00,,d36db6d8123e441ff361438feea2d34a,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[123 5] [10453 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\001\001708.html,62786,2009-02-05T20:46:40-05:00,,55ff333d9a8e9b20b0d2d4bd18745f3e,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[39 44] [161 42] [1034 7] [1138 8]],
X:\school\data\Govdocs1-threads\001\001836.txt,629282,2004-02-02T17:42:33-05:00,,a0fde6ed492eda587fbbf8d87a2e22f3,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\001\001912.ppt,151040,2005-01-28T11:43:00-05:00,,68dedd4292f6d5aa6056d09769b2d16e,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\001\001961.pdf,620747,2006-03-24T13:06:08-04:00,,5ed1af1f80dd39ffae739f804a0df6a7,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [620741 5]],
X:\school\data\Govdocs1-threads\002\002019.html,25436,2008-07-18T10:52:46-04:00,,b4cb509818694e0b6c7b8538c6df64d4,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\002\002552.html,32280,2009-02-05T21:01:37-05:00,,e301e290af88712a4c4e2c1efe9034a1,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[229 44] [352 42] [483 7] [559 8]],
X:\school\data\Govdocs1-threads\002\002597.txt,33023,2000-07-23T07:45:39-04:00,,15eee805849df9c1618beb11d927a314,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\002\002704.pdf,832048,2008-06-02T22:24:22-04:00,,0f19db2a57d9cd78e632355f85de4434,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [832041 5]],
X:\school\data\Govdocs1-threads\002\002760.html,14984,2005-11-28T10:51:45-05:00,,b259362c69ec486ce6d78d7d11b6e02b,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\002\002830.gif,16870,2003-06-17T14:30:50-04:00,,bfd5577f956f0554186f25865151180e,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [16869 1]],
X:\school\data\Govdocs1-threads\002\002849.csv,8137,2006-10-18T19:45:32-04:00,,5caf6aec2b3ed330311559bc7b10a269,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\002\002914.pdf,2627385,2007-01-24T13:10:55-05:00,,f44946c7378d4f6d282ff0a01631ddc1,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [2627378 5]],
X:\school\data\Govdocs1-threads\002\002996.pdf,337443,2001-07-18T11:36:46-04:00,,4f45c345714a4e2946b8c720eb05ff23,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [337436 5]],
X:\school\data\Govdocs1-threads\003\003057.html,9826,2007-12-13T09:13:56-05:00,,4bf527c179d34fcbd2641f546ba46e10,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [9819 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\003\003082.html,17122,2009-02-05T21:08:34-05:00,,1b9453352e4ec396ce1b79c8796f3d57,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[0 44] [123 42] [252 7] [339 8]],
X:\school\data\Govdocs1-threads\003\003428.pdf,584420,2005-10-17T17:05:00-04:00,,4652e81490528206a1ebdaaa0dc50253,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [584413 5]],
X:\school\data\Govdocs1-threads\003\003474.html,73135,2009-02-05T21:24:05-05:00,,d21340f97a2e9c314feefe304993d37b,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 233, 44",
X:\school\data\Govdocs1-threads\003\003593.eps,168291,1998-01-27T20:42:35-05:00,,ddcbe2c3cf56e45ea8e52adba6824f07,pronom,fmt/423,Adobe Illustrator,7.0,application/postscript,Image (Vector),"byte match at 0, 589",extension mismatch
X:\school\data\Govdocs1-threads\003\003607.jpg,16326,2004-11-29T11:37:42-05:00,,ad83fd01c09f868370fddcb420ed4488,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [16324 2]],
X:\school\data\Govdocs1-threads\003\003750.html,4682,2005-01-11T08:55:44-05:00,,abd43e76aa5957534adb2d3697053fab,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [4674 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\003\003774.txt,20033,2007-06-25T17:44:04-04:00,,ce0ad9ba9ea7a2ab6a3766927a4f8308,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\004\004027.html,41956,2009-02-25T01:10:47-05:00,,b87644dd86c1f17db96d0f32653ccb14,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\004\004043.doc,449024,2006-02-16T18:05:43-05:00,,5183a28b7d4479abb76bd8063d0b8fab,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 64, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\004\004157.pdf,206783,2003-09-12T01:00:00-04:00,,1c9b2a0bc155c102f69141a07fefd614,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [206777 5]],
X:\school\data\Govdocs1-threads\004\004315.gif,13892,2006-08-03T08:12:23-04:00,,44428af6d7f4b12bb24a4b6b678be8a7,pronom,fmt/3,Graphics Interchange Format,87a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [13891 1]],
X:\school\data\Govdocs1-threads\004\004336.pdf,281091,2008-03-28T10:16:28-04:00,,b955795eab9780265172f43e6d29c197,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [281084 5]],
X:\school\data\Govdocs1-threads\004\004387.pdf,151860,2007-11-06T19:01:22-05:00,,0df0a82e22fcc2c947acdde69b688a3d,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [151854 5]],
X:\school\data\Govdocs1-threads\004\004545.doc,189952,2008-01-31T15:09:54-05:00,,0bcde336e3c804fd87fd0cb81431a8d4,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\004\004862.csv,11075,2006-10-18T19:45:38-04:00,,2e44265d783de2cddccdebb052a62bff,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\004\004931.html,61205,2009-02-06T00:19:22-05:00,,d72423159d57dc09c98792a9c04b2145,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 3, 44",
X:\school\data\Govdocs1-threads\004\004962.doc,814080,2003-06-12T15:34:48-04:00,,f08bedda92a86925831e1cd714faf4c3,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\005\005053.html,27590,2009-02-06T00:20:45-05:00,,c037058abc42326d8ba47e377c3e4a6f,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[116 5] [27582 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\005\005146.pdf,2051762,2009-01-02T15:14:16-05:00,,8925bfc97017a13e228e4aa15a7f8bbe,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [2051755 5]],
X:\school\data\Govdocs1-threads\005\005194.ppt,1902592,2005-11-01T09:31:45-04:00,,bd979d0db2d07ebc96ca62c440b41922,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\005\005425.pps,1857024,2007-04-30T13:20:46-04:00,,231f9d130c24c7e0d3e8b3dffd1f52b1,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\005\005613.html,55569,2002-07-08T11:36:00-04:00,,35483e565f9845e167304a8fc44b8b8d,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [55560 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\005\005649.doc,36864,2008-05-05T15:02:05-04:00,,7b4b918a10ea4a461a0016143d31c440,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 77, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\005\005778.pdf,59680,2003-04-15T13:33:40-04:00,,3ee3ababd148404063f1a0a5b22bb6e2,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [59674 5]],
X:\school\data\Govdocs1-threads\006\006063.xml,4155,2009-03-02T12:17:27-05:00,,d5fc71a898375b7b0d895377af1703c1,pronom,UNKNOWN,,,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\006\006205.jpg,5075,2005-09-02T11:41:36-04:00,,3b6edd9a96944e0d66fd1dc8452ca82f,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [5073 2]],
X:\school\data\Govdocs1-threads\006\006219.gif,62086,1997-03-13T14:47:07-04:00,,4443ab2198e9c519af7fdc4a35a12d70,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [62085 1]],
X:\school\data\Govdocs1-threads\006\006265.pdf,73680,2007-11-23T17:08:35-05:00,,a32b543bd71bc2cdd8ea36f63b93ef08,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [73673 5]],
X:\school\data\Govdocs1-threads\006\006386.html,34608,2009-02-06T00:57:46-05:00,,424f5465438328968d866a408d4a2629,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[119 5] [34596 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\006\006411.doc,41984,2003-06-09T18:32:32-04:00,,ef62f80b1702ccb0ac683f475f571e2a,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\006\006487.pdf,26849,2001-11-27T10:29:11-05:00,,5cadc03d8974c31f2318a86b858d2e2e,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [26843 5]],
X:\school\data\Govdocs1-threads\006\006499.ppt,279040,2008-06-13T12:03:29-04:00,,eb18c5f822157d24924a8b189a09f67f,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\006\006528.xls,35840,2006-07-13T10:12:28-04:00,,4a2d67c7a8a2610c994ebc50c95601f9,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\006\006717.html,315598,2000-09-06T01:39:27-04:00,,d9710edfdac2fdc4b02795e54db59704,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[0 5] [315590 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\006\006722.html,329607,1999-12-01T12:13:32-05:00,,cfc7c9a89e28e02808f271aab352c0d0,pronom,UNKNOWN,,,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\006\006725.html,38165,2009-02-25T01:02:39-05:00,,ed89d1b63b32219125e781204e22879e,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\006\006857.csv,5617,2007-11-21T08:14:37-05:00,,a5749eae2a5fd0d0403609f817c6d5ff,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\006\006923.gif,8176,2000-08-22T20:52:21-04:00,,51038a9974d24910e81931d9a2467526,pronom,fmt/3,Graphics Interchange Format,87a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [8175 1]],
X:\school\data\Govdocs1-threads\007\007048.txt,4434,2007-04-17T04:53:40-04:00,,93530dadc31c2e16a14b98f7b85817f0,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\007\007120.html,42687,2009-02-06T01:16:35-05:00,,e088d7ffa3d4245881da054d17bb8614,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[0 44] [123 42] [178 7] [213 8]],
X:\school\data\Govdocs1-threads\007\007128.txt,14847,2007-03-27T00:00:00-04:00,,4a16d1d9e11ae410f182aff4391bde3b,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\007\007135.doc,219648,2007-12-28T15:10:38-05:00,,f4aab2751534cc5e477f8f7337beb0e5,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\007\007249.xls,158720,2005-02-21T17:11:51-05:00,,c0b1ca2c911519527e6be52105d03457,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\007\007317.txt,74900,2009-02-06T01:04:56-05:00,,8366a21dd7f9b1cc58fa354e177206fc,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\007\007835.txt,72629,2003-10-03T17:06:03-04:00,,2ce8f8649f0601ba9f6137dd2e8a79c9,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\007\007855.jpg,8372,2007-03-16T07:05:14-04:00,,fbc3b71670b71162340acf19bc493a04,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [8368 2]],
X:\school\data\Govdocs1-threads\007\007892.jpg,46076,2002-09-16T16:49:12-04:00,,693e95fff033a7716c8d8a04d2bc61c5,pronom,fmt/44,JPEG File Interchange Format,1.02,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [46074 2]],
X:\school\data\Govdocs1-threads\007\007895.pdf,188207,2006-02-16T16:58:34-05:00,,1854c110d37697c470bcf7fe60df026f,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [188200 5]],
X:\school\data\Govdocs1-threads\007\007952.pdf,182910,2006-11-08T18:23:56-05:00,,5a625e26b0df17e2dd5aa644b55f062d,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [182904 5]],
X:\school\data\Govdocs1-threads\008\008000.doc,49664,2006-08-10T18:07:18-04:00,,bbb4c0916457c3bf47d175e765cbf8cc,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 64, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\008\008042.pdf,3854640,2007-02-15T09:37:50-05:00,,d6fa239ea7145b007373bacdac85648b,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [3854633 5]],
X:\school\data\Govdocs1-threads\008\008080.html,6491,2009-02-06T01:50:30-05:00,,f77014c6fbb4ef6bb7043ea16552fc73,pronom,fmt/102,Extensible Hypertext Markup Language,1.0,application/xhtml+xml,Text (Mark-up),extension match html; byte match at [[1 44] [123 42] [244 7] [293 8]],
X:\school\data\Govdocs1-threads\008\008148.txt,542332,2004-04-30T16:24:24-04:00,,482fc82892a8ed4888c212df08a4c339,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\008\008231.html,10771,2008-09-30T18:35:36-04:00,,f06fb27e28470eb5feada966f6ab3d3b,pronom,fmt/100,Hypertext Markup Language,4.01,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\008\008284.txt,24815,2001-07-20T11:55:27-04:00,,e5abdd5543e4124682a5aa159da04818,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\008\008386.ppt,927744,2004-07-30T12:10:57-04:00,,106599eac96c6e07b08889ff2ff889b2,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\008\008498.txt,1520,2008-11-15T12:12:37-05:00,,76e29aadfb70f6a06ff8513bd36a8fc0,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\009\009006.gz,2086104,2009-02-19T07:57:13-05:00,,b0dfec65e9c6fe35dfd1fa983828216c,pronom,x-fmt/266,GZIP Format,,application/gzip,Aggregate,"extension match gz; byte match at 0, 3",
X:\school\data\Govdocs1-threads\009\009006.gz#/mnt/koji/mash/updates/f10-updates-090219.1251/f10-updates/SRPMS/.repodata/other.xml,9210386,0001-01-01T00:00:00Z,,7774236b89bac1df53591ea65095f710,pronom,fmt/101,Extensible Markup Language,1.0,application/xml,Text (Mark-up),"extension match xml; byte match at 0, 19",
X:\school\data\Govdocs1-threads\009\009158.pdf,41089,2007-09-11T08:29:16-04:00,,90e22988068d42de4e499f91c4948cb9,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [41082 5]],
X:\school\data\Govdocs1-threads\009\009263.ppt,1872384,2007-08-13T12:55:26-04:00,,dd3bb2e67223e2687e3c4db4e7da70a2,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\009\009270.xls,126976,2005-09-20T15:16:32-04:00,,2cd0001d7fb0d4115193b2d9d16c6f0c,pronom,fmt/59,Microsoft Excel 5.0/95 Workbook (xls),5/95,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Book with byte match at 0, 8",
X:\school\data\Govdocs1-threads\009\009320.html,1340,2003-04-18T07:43:12-04:00,,9e61bd5bafdcb8ccf525859549f6b6eb,pronom,fmt/99,Hypertext Markup Language,4.0,text/html,Text (Mark-up),"extension match html; byte match at 0, 44",
X:\school\data\Govdocs1-threads\009\009367.doc,551936,2006-07-20T13:57:41-04:00,,9db819fc84d084c646f17eb152df9b9b,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 64, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\009\009368.doc,317440,2005-03-31T20:37:27-04:00,,6a75a8b4d305c7f69f5a8d5cc2119a90,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,Word Processor,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
X:\school\data\Govdocs1-threads\009\009375.ps,3653964,2003-06-06T01:43:23-04:00,,a247dd77766cfa8f3638ef524dcf4467,pronom,x-fmt/406,PostScript,2.0,application/postscript,Image (Vector),"extension match ps; byte match at 0, 14",
X:\school\data\Govdocs1-threads\009\009392.ppt,1526272,2005-02-22T10:42:16-05:00,,b0e0ba499b612e6f2967e675daad0b72,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,Presentation,extension match ppt; container name PowerPoint Document with name only,
X:\school\data\Govdocs1-threads\009\009699.pdf,36792,2008-12-11T10:58:47-05:00,,52f227dc8d4d7f99b633a376f8fbf8fb,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [36785 5]],
X:\school\data\Govdocs1-threads\009\009713.csv,4197,2008-06-25T14:49:46-04:00,,90bc9572df0929e601c2be008875f6bf,pronom,x-fmt/18,Comma Separated Values,,text/csv,Dataset,extension match csv,match on extension only
